"I. 2004년 11월 30일의 은행계정조정표
 1. 은행잔액(2004/11/30):           ￦2,640,000
 2. 미기입예금(회사는 기입하였으나 은행은 기입  하지 않았음):                      ￦73,000
 3. 기발행미결제수표(outstanding checks):  ￦89,000
  수표번호 #164: 발행일 2004/11/26 금액  ￦19,000
  수표번호 #167: 발행일 2004/11/29 금액  ￦70,000
 4. 2004년 11월 말 현재 은행으로부터 통보받지     못하여 회사의 장부상에 기록되지 않은 항목
 (1)은행에 의한 어음추심액:                ￦2,290
 (2)은행수수료:                              ￦120
 (3)이자수익:                                ￦160
 5. 은행오류: 수표번호 #166 발행일 2004/11/27 금액 ￦1,270을 은행의 오류로 회사의 당좌예금계좌에서 ￦1,720을 차감시켰으며, 은행은 이 사실을 2004년 12월 2일 발견하여 회사에 통보하고, 회사의 당좌예금계좌에 그 차액을 동일자로 입금하였다.
 6. 회사장부잔액(2004/11/30)            xxxxx"
