과  목,기초잔액,당 기 중 증 감,기말잔액,[셀 읽기 실패]
[셀 읽기 실패],[셀 읽기 실패],감  소,증  가,[셀 읽기 실패]
"매출채권대손충당금","50,000 ","10,000 ","40,000 ","80,000 "
"단기매매증권평가이익","△120,000 ","△100,000 ","△10,000 ","△30,000 "
"재고자산평가손실","100,000 ","40,000 ",0,"60,000 "
미수이자,"△40,000 ","△40,000 ","△30,000 ","△30,000 "
"(비유동성)매도가능증권평가이익","△80,000 ","△10,000 ","△20,000 ","△90,000 "
"설비자산 감가상각누계액","200,000 ",0,"30,000 ","230,000 "
"퇴직급여충당부채","300,000 ","140,000 ",0,"160,000 "
연구 및 인력개발준비금,"△90,000 ",0 ,0 ,"△90,000 "
합  계,"320,000 ","40,000 ","10,000 ","290,000 "
