t/m,내   용
{aa},회사제시 시산표와 일치함.
{bb},"차입금은 전기 940원, 당기 700원으로서 당기 중 감소액 240원은 타당함. 추가적인 감사절차는 필요 없음."
{cc},"수정사항은 양적으로 중요하지 않으므로, 추가적인 감사절차는 필요 없음."
{a},전기 감사조서와 대조한 결과 예외사항 없음.
{b},"합계를 검증하였으며, 회사의 총계정원장의 기말잔액과 일치함을 확인함."
{c},"회사의 재무담당임원인 박자금씨와 논의한 바에 따르면, (주)개발은 2x10/8/31일자로 20,000원을 차입하는 약정서를 C은행과 체결하였음. 차입개시일과 차입금액을 회사가 제시한 차입약정서 사본과 대조하였으며, 또한 20,000원은 은행조회서와 대조한 바 일치하였음. "
{d},'차입금 상환 내역 테스트' 조서를 참조할 것.
{e},"C은행 차입금 20,000원에 대해서는 매 연도말 회사의 부채비율을 200% 이하로 유지하여야 한다는 조건이 있음. 이를 위반할 경우 C은행은 동 차입금에 대한 조기상환을 요청할 수 있는 바, 2x10/12/31 현재 회사의 부채비율은 250%로서 이 차입조건에 위배되어 있음. 그러나 회사 재무담당임원에 따르면 C은행은 이러한 부채비율 유지조건을 면제해 주기로 결정하여 조기상환을 요구하지 않을 것이라는 내용을 구두로 (주)개발에 통보하였으나, 문서로 이를 공식적으로 통보하지는 아니하였음.  따라서, 이러한 차입조건 위반은 중요하지 않은 것으로 판단됨."
{f},감사보고서상의 차입금 관련 주석에 기록되어 있는 금액과 대조한 결과 예외사항 없음. 
{g},"표본추출법에 따라 2건의 월별 상환액을 표본으로 적절하게 추출하였으나, 회사 담당자로부터 모든 월별 현금상환액 명세 및 관련 증빙을 입수할 수 있었기 때문에 표본조사 대신 13건 전체에 대해 전수검사를 통해 현금지급내역의 세부내역을 확인하였으며 이상항목은 발견되지 않았음. 재무제표는 중요하게 잘못 작성되어 있지 아니함."
