"(1) 갑㈜의 감사인은 전기(2X11회계연도) 타감사인에서 당기(2X12회계연도) 신규감사인으로 교체되었다. 당기 감사인인 담당이사(Partner) A회계사는 당기(2X12회계연도) 감사업무 수행 후 당기 초도감사대상회사였던 갑㈜의 감사보고서를 적정의견으로 발행하였고, 동 감사보고서에 첨부된 감사받은 재무제표는 주주총회에서 승인되었다. 
(2) 회사의 2X12년 사업연도에 대한 주주총회 후 3개월이 경과된 시점에서 당기 감사인인 A회계사는 회사로부터 아래 사실을 통보 받았다.
- 갑㈜는 전기(2X11회계연도) 9월 중 해외 소재 종속회사인 병㈜으로부터 (A)광물자원 채굴권을 신규 취득하였다며, 감사인에게 취득 관련 계약서와 광물자원채굴 허가서 및 대금 지불 관련 각종 증빙을 제시하였으나, 감사인에게 제시된 관련 서류는 모두 위조된 것이었으며 병㈜는 해당 채굴권을 소유하지 않았으며, 지불된 대금은 모두 대표이사가 횡령한 것으로 밝혀짐
- 갑㈜는 해외 건설용역을 진행기준에 따라 수익을 인식하고 있으며, 과거 3개년 간 회사 공사미수금의 대부분이 실제 계약서상 계약도급금액이 아닌 대표이사가 위조한 계약서상 부풀려진 도급금액에 따른 (B)진행기준 수익인식 해당액으로 실제로는 회수가 불가능한 금액이었음
- 회사는 상기 부정에 개입된 대표이사를 해임하고, 신임 대표이사를 선임하였음
(3) 위 상황과 관련하여, A회계사는 아래 사실을 추가적으로 파악하였다.
- 회사로부터 통보받은 위 부정사실은 당기 감사보고서일 현재 존재하였고 감사보고서일에 알았더라면 감사보고서의 변형이 수반되었을 것이며, 전기 타감사인이 적정의견을 표명하였던 전기재무제표에도 중요한 영향을 미치는 왜곡표시임
- 상기 부정사건이 언론에 기사화된 후 주가 폭락으로 손해를 입은 갑㈜의 (C)주주들이 회사에 소송을 제기하였음 
- A회계사는 상기 부정사건의 영향에 대하여 법률자문을 구하고 새로 선임된 신임 대표이사 및 내부감시기구와의 필요한 사항을 협의하였으며, 회사는 (D)모든 거래에 대해 진위여부에 대한 조사를 진행하였음"
