"·  리스기간: 20x1년 1월 1일 ∼ 20x3년 12월 31일(3년)
·  연장선택권: ㈜대한은 리스기간을 3년에서 5년으로 2년 연장할 수 있는 선택권이 있으나 리스개시일 현재 동 선택권을 행사할 의도는 전혀 없다. 
·  리스료: ㈜대한은 리스기간 동안 매년 말에 ￦2,000,000의 고정리스료를 ㈜민국에게 지급하며, 연장선택권을 행사하면 20x4년 말과 20x5년 말에는 각각 ￦2,200,000을 지급하기로 약정하였다. 
·  내재이자율: ㈜대한은 동 리스에 적용되는 ㈜민국의 내재이자율은 쉽게 산정할 수 없다.
·  ㈜대한의 증분차입이자율: 연 8%(20x1.1.1.), 연 10%(20x3.1.1.)
·  리스개설직접원가: ㈜대한은 리스계약과 관련하여 ￦246,000을 수수료로 지급하였다.
·  리스계약 당시 ㈜민국이 소유하고 있는 사무실의 잔존내용연수는 20년이다.
·  적용할 현가계수는 아래의 표와 같다.
    할인율
기간단일금액 ￦1의 현재가치정상연금 ￦1의 현재가치8%10%8%10%1년0.92590.90910.92590.90912년0.85730.82641.78321.73553년0.79380.75132.57702.4868
"
