"<공통자료>
1.  20x2년 1월 1일 유통주식수는 다음과 같다.
구분주식수1주당 액면금액보통주18,000주1,000우선주A
(비누적적, 비참가적) 2,000주1,000우선주B
(누적적, 비참가적)  1,000주1,000
2.  20x2년 3월 1일 보통주에 대해 주주우선배정 신주발행을 실시하여 2,400주가 증가하였다. 유상증자 시 1주당 발행가액은 ￦2,000이고, 유상증자 직전 보통주 1주당 공정가치는 ￦2,400이다. 20x2년 보통주 1주당 평균 시가는 ￦4,000이다. 
3.  20x2년 9월 1일에 자기주식 1,000주를 1주당 ￦2,500에 취득하였으며, 이 중 600주를 20x2년 11월 1일에 1주당 ￦2,800에 재발행하였다.
4.  20x2년 12월 1일 공개매수 방식으로 우선주A 전부를 재매입하였으며, 우선주A 주주에게 공정가치인 1주당 ￦2,000을 지급하였다. 재매입일의 우선주A의 1주당 장부금액은 ￦1,600이다.
5.  우선주B에 대해 전기에 지급하지 못한 배당금과 당기 배당금을 모두 지급하기로 당기 중에 결의하였다. 우선주B의 배당률은 매년 연 10%이다.
"
