"< 자 료 >
  1.  손익계산서상 이자비용
차입처이자율차입금이자비용사채*115%30,000,000원2,000,000원A법인*20%50,000,000원0원X은행8%150,000,000원9,600,000원Y은행9%90,000,000원8,100,000원
   *1  사채는 채권자의 실명과 주소가 확인되지 않으며, 2024년 12월 27일 원리금을 전액 상환하였다.음. 동 사채의 알선수수료 300,000원은 손익계산서상 지급수수료에 포함되어 있음
  *2  A법인은 ㈜대한민국과 특수관계에 있음인임
  2.  확장이전 목적으로 기존 공장 부근 토지를 2010년 8월 23일 500,000,000원에 매입하였으나, 당기말까지 확장이전을 위한회사의 자금사정으로 공장 건설을 개시하지 않았다.
  . 당해해당 토지에 대한 재산세 3,800,000원을 세금과공과로 회계처리하였다. 
  
 3.  대표이사에게 2024년 7월 1일 주택구입자금 100,000,000원을 무이자로 대여하였다.
  4.  1년은 366일로 가정하며하며, 기획재정부령으로 정하는 당좌대출이자율은 연 4.6%이다.
"
