"<자 료>
1. A법인은 B법인의 주주들에게 A법인의 주식 50,000주(1주당 액면가액 5,000원, 1주당 시가 8,000원)와 합병교부금 50,000,000원을 지급하였다.
2. A법인은 합병등기일 현재 B법인의 주식 10,000주를 매도가능증권으로 보유하고 있으며, 그 취득내역은 다음과 같다. 한편 A법인은 동 주식에 대해서도 1주당 A법인 주식 1주를 교부하였다.
 ① 2003년 7월 15일에 4,000주를 32,000,000원에 취득
 ② 2004년 10월 20일에 6,000주를 58,000,000원에 취득
3. 합병등기일 현재 B법인의 대차대조표상 자기자본의 내역은 다음과 같다. 한편 합병등기일 현재 B법인의 세무상 유보잔액의 합계액은 20,000,000원이다.
 ① 자  본  금 : 300,000,000원
 ② 자본잉여금 :  50,000,000원
 ③ 이익잉여금 :  30,000,000원
4. 합병등기일 현재 B법인의 세무상 이월결손금의 내역은 다음과 같다. 
 ① 이월공제기간 경과분 : 50,000,000원
 ② 이월공제기간 미경과분 : 80,000,000원
5. A법인과 B법인은 모두 합병등기일 현재 1년 이상 계속하여 사업을 영위하던 내국법인이며, A법인은 청산소득에 대한 법인세를 부담하지 않는 것으로 가정한다."
