"① 본인의 국민연금보험료            600,000원
② 장남의 생명보험료(보장성보험)     300,000원
③ 장녀의 장애인전용 보장성보험료  1,200,000원
④ 본인의 종합건강진단비용         2,000,000원
⑤ 배우자의 치료용 의약품 구입비용 1,000,000원
3. 기타 신용카드 사용내역은 다음과 같다. 
① 본인의 1월부터 6월까지의 신용카드 사용액 :                                      8,000,000원
  (국외사용액 2,000,000원, 자동차대여료 500,000원 포함)
② 배우자의 1월부터 6월까지의 신용카드 사용액 :                                      4,000,000원
  (아파트관리비 1,500,000원, 학원수강료 700,000원 포함)
4. 2006년 1월부터 6월까지의 기부금 지출내역은 다음과 같다. 한편 K씨는 2005년 귀속 근로소득에 대한 연말정산시 특례기부금 3,000,000원을 한도초과로 인해 공제받지 못한 바 있다.
① 사내근로복지기금 기부금         2,500,000원
② 대한적십자사 기부금             1,600,000원
③ 정당에 기부한 정치자금           500,000원
④ 사립학교 장학금 기부금          5,500,000원
⑤ 종교단체 지정기부금                 3,500,000원"
