"감사인에게 부문 A의 재무제표에 대하여 감사를 요청함.
(부문 B)
파악한 사실: 부문 B의 세전순이익은 그룹세전순이익의 8%에 해당. 	
결론: 부문 B의 별도재무제표는 재무적으로 유의하지 않으므로 그룹감사목적으로 부문감사인에게 별도의 감사절차를 수행하도록 요구하지 않음.  
	
(부문 C)
파악한 사실: 부문 C의 세전순이익은 그룹세전순이익의 11.6%에 해당됨. 20x2년 3월에 주식을 취득하여 그룹재무제표에 신규 편입됨에 따라 그룹 공통의 시스템과 절차가 적용되지 않고 있으며, 내부감사업무도 수행되지 않았음. 	
결론: 그룹세전순이익의 15% 미만이지만, 부문의 고유한 성격과 환경을 감안하여 부문 C를 유의적 부문으로 식별하고 부문감사인에게 부문 C의 재무제표에 대하여 감사할 것을 요청함.  	
(부문 D∼Z)
파악한 사실: 부문 D∼Z의 세전순이익의 합계는 그룹세전순이익의 30%에 해당. 그러나 부문 D∼Z 어느 하나의 부문도 재무적으로 유의하지 않음. 
	
결론: 부문 D∼Z 21개 각각의 부문은 재무적으로 유의하지 않으므로 감사의 효율을 고려하여 별도의 감사절차를 수행하지 않음. 	"
