"주주주식수지분비율갑(본인)50,000주50%을(배우자)30,000주30%병(아들)20,000주20%합계100,000주100%
2. ㈜대한은 부동산과다법인 및 순자산가치만으로 주식을 평가하는 법인에 해당하지 않으며, 가업상속공제대상에도 해당하지 아니한다. ㈜대한의 1주당 순손익가치 및 순자산가치는 각각 20,000원이다.
 
3. 갑, 을, 병은 모두 거주자이다.
4. 갑은 2017년 3월 1일에 사망하면서 소유하고 있던 ㈜대한의 주식 전체를 ㈜대한에게 유증하였다. 상법상 ㈜대한이 갑의 주식을 유증받는데 문제가 없으며, 회사는 수증한 자기주식을 소각할 계획이 없다. 
5. ㈜대한의 주식 이외에 갑의 상속재산은 없다.
6. 영리법인에게 과세된 법인세 계산시 적용되는 법인세율은 10%이다.
7. 상속세 및 증여세 세율
과세표준세  율1억원 이하과세표준의 10%1억원 초과 
5억원 이하1천만원 + 1억원을 
초과하는 금액의 20%5억원 초과 
10억원 이하9천만원 + 5억원을 
초과하는 금액의 30%10억원 초과 
30억원 이하2억4천만원 + 10억원을
초과하는 금액의 40%30억원 초과10억4천만원 + 30억원을 
초과하는 금액의 50%
  
"
