"·  기초자산(생산공정에 사용할 기계장치)의 리스기간은 20x1년 1월 1일부터 20x3년 12월 31일까지이다.
·  기초자산의 내용연수는 4년으로 내용연수 종료시점의 잔존가치는 없으며, 정액법으로 감가상각한다.
·  ㈜대한은 리스기간 동안 매년 말 ￦3,000,000의 고정리스료를 지급한다. 
·  사용권자산은 원가모형을 적용하여 정액법으로 감가상각하고, 잔존가치는 없다.
·  20x1년 1월 1일에 동 리스의 내재이자율은 연 8%로 리스제공자와 리스이용자가 이를 쉽게 산정할 수 있다. 
·  ㈜대한은 리스기간 종료시점에 기초자산을 현금 ￦500,000에 매수할 수 있는 선택권을 가지고 있으나, 리스개시일 현재 동 매수선택권을 행사하지 않을 것이 상당히 확실하다고 판단하였다. 그러나 20x2년 말에 ㈜대한은 유의적인 상황변화로 인해 동 매수선택권을 행사할 것이 상당히 확실하다고 판단을 변경하였다. 
·  20x2년 말 현재 ㈜대한은 남은 리스기간의 내재이자율을 쉽게 산정할 수 없으며, ㈜대한의 증분차입이자율은 연 10%이다. 
·  적용할 현가계수는 아래의 표와 같다.
할인율
기간단일금액 ￦1의 현재가치정상연금 ￦1의 현재가치8%10%8%10%1년0.92590.90910.92590.90912년0.85730.82641.78321.73553년 0.79380.75132.57702.4868
"
