"< 자 료 >
 1. 상속개시일 현재 상속재산의 내역은 다음과 같다.
    ①  국내 소재 은행에 예치 중인 200,000,000원의 정기예금(미수이자 상당액은 는 5,000,000원으로 소득세법 ｢소득세법｣상 원천징수세액 상당액 700,000원을 포함한 금액임)
    ②  시가 1,500,000,000원인 상당의 국내 소재 주택
    ③  부동산과다보유법인이 아닌 비상장 중소기업 ㈜A의 주식 20,000주(갑은 최대주주가 아니며, ㈜A의 상속개시일 현재 1주당 순손익가치는 20,000원, 1주당 순자산가치는 25,000원임)
  ④  국외 소재 은행에 예치된 500,000,000원의 예금(해당 국가의 법령에 따라 실명이 확인된 갑 명의 계좌이며, 상속개시일 현재 기준환율을 적용하여 환산한 금액임)
 2. . 상속개시일 현재 갑의 채무로는 주택담보대출 400,000,000원이 있으며, 해당 채무는 상속재산 중 국내 소재 주택을 담보물로 하여 2014년 중 국내 소재 은행으로부터 차입한 것이다. 
 3.  봉안시설을 제외한 장례비용은 9,000,000원이며, 봉안시설 비용은 56,000,000원으로 모두 증빙명서류에 의해 입증된다.
 4.  2023년 10월 1일에 상속인인 장남에게 국내 소재 토지를 다음과 같이 양도하였으며, 장남의 토지 취득 자금은 그 출처가 입증되었다.
     ①  양도 당시 시가: 300,000,000원
     ② 양도가액: 130,000,000원
"
