공급유형,단지명,주소,지하철역_x,SupplyCategory,공급평형,공급호수,예비모집,선택,지하철역_y,지하철역
재공급,L TOWER,송파구 잠실동 208-4,,"청년안심주택(공공-청년(대학생,취업준비생))",33B,1,,✅,잠실새내역,잠실새내역
재공급,L TOWER,송파구 잠실동 208-4,,"청년안심주택(공공-청년(대학생,취업준비생))",33C,1,,✅,잠실새내역,잠실새내역
쉐어예비,골드타워(동작구 신대방동 351-5),동작구 신대방동 351-5,,청년안심주택(공공-청년-셰어형),40E,2,,✅,신대방역,신대방역
신규공급,광운대역 다움하우스(노원구 월계동 410-3),노원구 월계동 410-3,,"청년안심주택(공공-청년(대학생,취업준비생))",18A,2,,✅,광운대역,광운대역
신규공급,광운대역 다움하우스(노원구 월계동 410-3),노원구 월계동 410-3,,청년안심주택(신혼부부Ⅰ),36,18,,✅,광운대역,광운대역
신규공급,광운대역 다움하우스(노원구 월계동 410-3),노원구 월계동 410-3,,청년안심주택(신혼부부Ⅰ),38,6,,✅,광운대역,광운대역
재공급,구산주택(은평구 구산동 198-3),은평구 구산동 198-3,,"청년안심주택(공공-청년(대학생,취업준비생))",17A,1,,✅,구산역,구산역
재공급,길동생활 A동,강동구 길동 367-1,,"청년안심주택(공공-청년(대학생,취업준비생))",17,24,,✅,길동역,길동역
재공급,길동생활 A동,강동구 길동 367-1,,"청년안심주택(공공-청년(대학생,취업준비생))",34,3,,✅,길동역,길동역
재공급,길동생활 A동,강동구 길동 367-1,,청년안심주택(신혼부부Ⅰ),36,9,,✅,길동역,길동역
재공급,길동생활 B동,강동구 길동 368-7,,"청년안심주택(공공-청년(대학생,취업준비생))",31,2,,✅,길동역,길동역
재공급,길동생활 B동,강동구 길동 368-7,,"청년안심주택(공공-청년(대학생,취업준비생))",33,7,,✅,길동역,길동역
재공급,길동생활 B동,강동구 길동 368-7,,청년안심주택(신혼부부Ⅰ),36B,2,,✅,길동역,길동역
재공급,길동생활 B동,강동구 길동 368-7,,청년안심주택(신혼부부Ⅰ),36A,4,,✅,길동역,길동역
재공급,더써밋 타워,동작구 노량진동 54-4,,"청년안심주택(공공-청년(대학생,취업준비생))",34B,2,,✅,노량진역,노량진역
재공급,더클래식동작,동작구 노량진동 37-1,,"청년안심주택(공공-청년(대학생,취업준비생))",16,5,,✅,노량진역,노량진역
신규공급,도곡 더써밋타워(강남구 도곡동 954-17),강남구 도곡동 954-17,,"청년안심주택(공공-청년(대학생,취업준비생))",18B,10,,✅,도곡역,도곡역
신규공급,도곡 더써밋타워(강남구 도곡동 954-17),강남구 도곡동 954-17,,청년안심주택(신혼부부Ⅰ),36A,2,,✅,도곡역,도곡역
신규공급,도곡 더써밋타워(강남구 도곡동 954-17),강남구 도곡동 954-17,,청년안심주택(신혼부부Ⅰ),36B,6,,✅,도곡역,도곡역
신규공급,도곡 더써밋타워(강남구 도곡동 954-17),강남구 도곡동 954-17,,청년안심주택(신혼부부Ⅰ),37,8,,✅,도곡역,도곡역
재공급,도림브라보,영등포구 도림동 250-20,,청년안심주택(신혼부부Ⅰ),35,1,,✅,신도림역,신도림역
신규공급,도무스 서초(서초구 서초동 1673-3),서초구 서초동 1673-3,,"청년안심주택(공공-청년(대학생,취업준비생))",19B,5,,✅,남부터미널역,남부터미널역
신규공급,도무스 서초(서초구 서초동 1673-3),서초구 서초동 1673-3,,"청년안심주택(공공-청년(대학생,취업준비생))",19A,5,,✅,남부터미널역,남부터미널역
신규공급,도무스 서초(서초구 서초동 1673-3),서초구 서초동 1673-3,,청년안심주택(신혼부부Ⅰ),39B,1,,✅,남부터미널역,남부터미널역
신규공급,도무스 서초(서초구 서초동 1673-3),서초구 서초동 1673-3,,청년안심주택(신혼부부Ⅰ),39A,1,,✅,남부터미널역,남부터미널역
신규공급,동대문구 장안동 418-1,동대문구 장안동 418-1,,"청년안심주택(공공-청년(대학생,취업준비생))",18B,2,,✅,장한평역,장한평역
신규공급,동대문구 장안동 418-1,동대문구 장안동 418-1,,"청년안심주택(공공-청년(대학생,취업준비생))",18A,5,,✅,장한평역,장한평역
신규공급,동대문구 장안동 418-1,동대문구 장안동 418-1,,"청년안심주택(공공-청년(대학생,취업준비생))",22,6,,✅,장한평역,장한평역
